cites_count.currentYear,cites_count.L5Y.mean,cites_count.L5Y.median,cites_count.L5Y.std,cites_count.speed.mean,cites_count.speed.median,cites_count.speed.std,cites_count.acc.mean,cites_count.acc.median,cites_count.acc.std,cites_publication.currentYear,publications.currentYear,publications.L5Y.mean,publications.L5Y.median,publications.L5Y.std,publications.speed.mean,publications.speed.median,publications.speed.std,publications.acc.mean,publications.acc.median,publications.acc.std,authors_total.currentYear,authors_total.L5Y.mean,authors_total.L5Y.median,authors_total.L5Y.std,authors_total.speed.mean,authors_total.speed.median,authors_total.speed.std,authors_total.acc.mean,authors_total.acc.median,authors_total.acc.std,countries_count.currentYear,countries_count.L5Y.mean,countries_count.L5Y.median,countries_count.L5Y.std,countries_count.speed.mean,countries_count.speed.median,countries_count.speed.std,countries_count.acc.mean,countries_count.acc.median,countries_count.acc.std,countries_total.currentYear,countries_total.L5Y.mean,countries_total.L5Y.median,countries_total.L5Y.std,countries_total.speed.mean,countries_total.speed.median,countries_total.speed.std,countries_total.acc.mean,countries_total.acc.median,countries_total.acc.std,articles_count.currentYear,articles_count.L5Y.mean,articles_count.L5Y.median,articles_count.L5Y.std,articles_count.speed.mean,articles_count.speed.median,articles_count.speed.std,articles_count.acc.mean,articles_count.acc.median,articles_count.acc.std,conf_count.currentYear,conf_count.L5Y.mean,conf_count.L5Y.median,conf_count.L5Y.std,conf_count.speed.mean,conf_count.speed.median,conf_count.speed.std,conf_count.acc.mean,conf_count.acc.median,conf_count.acc.std,field_count.currentYear,field_count.L5Y.mean,field_count.L5Y.median,field_count.L5Y.std,field_count.speed.mean,field_count.speed.median,field_count.speed.std,field_count.acc.mean,field_count.acc.median,field_count.acc.std,field_total.currentYear,field_total.L5Y.mean,field_total.L5Y.median,field_total.L5Y.std,field_total.speed.mean,field_total.speed.median,field_total.speed.std,field_total.acc.mean,field_total.acc.median,field_total.acc.std,access_open_count.currentYear,access_open_count.L5Y.mean,access_open_count.L5Y.median,access_open_count.L5Y.std,access_open_count.speed.mean,access_open_count.speed.median,access_open_count.speed.std,access_open_count.acc.mean,access_open_count.acc.median,access_open_count.acc.std,access_closed_count.currentYear,access_closed_count.L5Y.mean,access_closed_count.L5Y.median,access_closed_count.L5Y.std,access_closed_count.speed.mean,access_closed_count.speed.median,access_closed_count.speed.std,access_closed_count.acc.mean,access_closed_count.acc.median,access_closed_count.acc.std,sponsor_total.currentYear,sponsor_total.L5Y.mean,sponsor_total.L5Y.median,sponsor_total.L5Y.std,sponsor_total.speed.mean,sponsor_total.speed.median,sponsor_total.speed.std,sponsor_total.acc.mean,sponsor_total.acc.median,sponsor_total.acc.std,class
4356,146051.8333,146773.5,112662.5183,57485.6,59790,12779.44845,13321,10942,9415.930579,0.843369,5165,8525.333333,9125,1649.441562,965.6,216,1788.656004,1068.5,142,1946.838206,4140,6575.833333,6666,1305.811689,1382.8,1048,1327.370973,1106.75,903.5,1074.424924,123,120.5,121.5,6.090977,8,7,5.385165,3.5,2,3.696846,14822,23422.33333,24800,4259.269499,2967,1129,4488.306418,3080,952.5,4563.249792,3889,5686.5,6036,886.873779,557.6,172,975.271142,599,114.5,1019.519168,688,1911.5,2071.5,612.959297,357.6,67,571.702982,438,189.5,603.685901,28,27.833333,28,0.408248,0.4,0,0.547723,0.5,0.5,0.57735,9985,15718.66667,16749,2843.044471,1939.2,689,3165.19347,1948.5,388,3304.210798,1403,2459.666667,2650,567.709315,451.6,238,401.343743,305,141,411.327931,4040,5641.5,5887,827.765607,724,377,837.440446,513,85.5,866.127396,2576,2856.666667,2650,613.017999,598.4,419,523.559739,340.75,361,205.107086,0
8402,214927.6667,221991,157728.8963,79021.4,91531,24903.09306,24221.5,22230,22552.65797,0.904316,9291,12958.66667,13564.5,1891.641263,1380.4,588,2137.275555,1638.5,706.5,2158.032206,2853,5193,5504.5,1402.011983,1619.4,1638,974.208037,1251.25,1079.5,624.896458,153,155.5,156.5,7.816649,7,5,5.147815,5.25,5,4.031129,21210,29290.83333,31048.5,4748.314287,4252.2,2294,5014.877336,4099.5,2136,4344.706933,6904,8912.666667,9299,1051.367237,882.2,363,1155.806082,814.25,315,1178.563073,807,1517.166667,1637,352.111015,228.2,69,330.496142,224,61.5,348.525465,28,28,28,0,0,0,0,0,0,0,15236,21128.83333,22038,3037.274003,2224,953,3459.18343,2543.5,1015,3504.161764,2019,3083.166667,3385.5,637.866261,527.8,227,546.048716,486,349,554.503983,5545,6834.666667,6940,700.444335,627.4,369,847.242763,523.25,178.5,722.879139,2633,2329.5,2326,358.472175,315.2,218,228.509737,387.75,393,63.173702,0
16924,436886.5,437654.5,333273.8193,172740.8,177171,31510.00076,29073.5,13425.5,35885.53678,0.826811,20469,28320.16667,29425,3976.122303,2598.2,1011,4474.308852,3055,846,4972.53604,2935,5260.333333,5510,1324.490795,1472.8,1208,1013.669917,1214.5,1207,570.308396,180,177.833333,180,5.231316,3.2,2,2.949576,1.75,1.5,1.707825,46047,60157.83333,61963.5,8394.906442,7079.4,4167,8671.686041,6035.5,1465,9915.453982,15180,19923.66667,20612,2403.753953,1624,413,2738.498768,1747.25,365.5,2958.961121,2276,2994,3069,418.477717,333,135,407.283071,392.75,314,374.883426,28,28,28,0,0,0,0,0,0,0,31512,43534.16667,45179.5,6098.90362,4097.4,1317,6945.652547,4549.5,1001.5,7529.487388,1258,1927.5,2057.5,380.210863,303,255,337.387018,274.5,145,359.897671,2971,3739.5,3827.5,419.233944,400.2,252,465.858562,345,202.5,424.143844,1667,1697.833333,1650.5,441.136449,432.8,382,324.260235,294.75,255.5,177.110841,0
2576,70962.66667,76938,52005.0088,27542.4,34041,11873.94249,17277.5,19334,11956.97937,1.000388,2575,4214.5,4509.5,820.70817,593.2,212,939.036315,619.5,239.5,903.595964,3882,5285.5,4927,1386.91092,1348.8,1072,1279.229534,938.5,550.5,1065.032863,95,107,104.5,9.81835,9.2,5,9.80816,8.25,4,8.5,9779,14606.16667,15023,2916.751989,2681.4,1740,3286.068974,3358.5,2692,2134.477219,1981,3045.5,3224.5,529.055668,338,111,608.282418,401.25,109.5,595.264297,336,820.333333,905,250.078921,227.2,127,263.453411,209,110,236.096026,26,26,26,0.894427,1,1,0.707107,0.75,0.5,0.957427,4692,7882,8457,1625.741923,1304.2,706,1844.858043,1355,686.5,1679.992262,707,1571.833333,1702,459.578249,324,304,283.970949,236.25,225.5,167.881655,2107,2672,2627.5,422.764237,526,483,452.828886,362.25,429,259.194104,2560,2681.166667,2702.5,736.471973,567.2,579,450.762909,680,663.5,256.365624,0
7236,186603.1667,187451,142215.8587,72015.4,75465,18042.02135,20932.75,19837.5,5236.726482,0.781679,9257,13076.16667,13727,2027.456872,1556.8,556,2238.247909,1593.75,491.5,2403.525934,3055,5596.666667,5870,1388.789065,1409.2,1231,1093.224451,1253,981.5,794.890768,168,174,174,7.293833,6.6,5,5.22494,5.5,4.5,4.795832,27347,37776.83333,39915.5,6081.601809,5208,3025,6471.098632,5149.75,2675.5,6015.499058,7018,9169,9581.5,1174.119244,959.6,395,1295.888421,919.5,364.5,1295.711516,933,1193.833333,1217.5,162.877152,143.2,60,169.087847,129.5,60.5,172.69337,28,28,28,0,0,0,0,0,0,0,15533,21571.33333,22567.5,3207.008055,2538.2,1088,3619.974682,2344.75,627,3706.40566,4540,5373.333333,5461,745.527911,660.2,538,615.958359,729.5,535,601.970376,5566,7492.166667,7780.5,978.011333,708.2,211,1159.899866,736.25,227.5,1087.252002,4051,4033.833333,4044,624.967013,491.4,531,208.907396,253,239.5,212.914693,0
5975,153933.6667,163988,111030.3535,56010,49095,18495.28779,19403,16496.5,13815.78954,0.79656,7501,10829.66667,11400,1704.322114,1210,396,1934.076653,1324.5,410,1959.721834,3104,5391.833333,5774,1317.888678,1421,1365,954.945548,1101.75,699.5,816.21091,163,161.666667,164,10.385888,8,7,3.464102,4,3,2.708013,22472,31760.33333,33152.5,5173.411048,4656,2259,5278.495903,4097.5,1849.5,5203.859113,5914,7843.5,8123,1018.052405,836.2,425,1125.77671,845.5,349,1041.519883,608,910,951,166.001205,107.6,86,106.903227,99.25,103,78.1297,28,28,28,0,0,0,0,0,0,0,13268,18726.16667,19656,2840.193755,2138,998,3255.402126,2325.5,1024.5,3076.827858,3143,4286.5,4504,701.508589,578.2,368,690.202289,560.75,174,782.867965,4695,6220.166667,6475.5,766.110023,590.4,216,870.754443,567.25,226.5,809.337332,3468,3728.5,3590,849.436225,843,581,690.587069,555.25,412.5,367.102506,0
3757,98760.33333,97875,73655.46373,37455.2,39354,9089.378785,8663.5,6855.5,8793.976139,0.748108,5022,7402.166667,7739.5,1188.034245,774.6,245,1388.225954,827,151.5,1430.54838,3961,5201.166667,4930.5,1318.560642,1265.4,943,1134.729615,1023.25,778,863.273759,147,138,140.5,12.790622,11,13,4.1833,4.75,4.5,3.86221,16109,21694.33333,21873.5,3597.138789,3426.2,1781,3966.853879,2643,1068,3462.965877,4025,5337.333333,5500,671.155024,477.2,195,762.066073,508.75,133.5,828.834674,452,1318.833333,1452,431.986304,276.2,78,420.002619,312.25,132,422.789447,28,28,28,0,0,0,0,0,0,0,9489,13396,13931.5,1990.808278,1450.4,349,2358.162802,1419.75,318,2299.732503,1706,2135.5,2185.5,304.622225,279.4,203,287.028396,214.25,86,308.01231,3666,5184.333333,5468,756.506092,544.2,196,801.42261,484,75,867.191252,1709,1798.333333,1646.5,474.37819,508.6,495,280.30751,187.25,189.5,124.898292,0
6384,151536.8333,160474,108559.7603,54492.4,53117,17251.14913,16113.75,20423,10882.48377,0.790001,8081,11127.5,11569.5,1562.093947,1090.4,425,1705.537833,1313.25,493.5,1811.415906,4045,5757.333333,5587.5,1298.181292,1330.4,955,1352.639937,1001.75,576.5,1058.989573,160,167.833333,167,9.196014,8,3,7.071068,10,12.5,7.071068,25957,34216.83333,34502,5459.515488,4797.4,2905,5449.304616,4312.5,1679.5,5965.898116,5936,7563.666667,7852.5,872.735622,670.8,260,950.357407,723.5,263.5,1020.792666,816,1269.5,1356.5,231.885101,130.2,59,170.848471,121.5,75,127.356455,28,28,28,0,0,0,0,0,0,0,13374,18193.5,18883,2522.17539,1856.2,1042,2824.166284,2353.25,937,2865.301773,3190,4116,4194,661.360114,585.4,452,572.304377,523,251,663.124423,4399,5810.833333,6111.5,696.580338,437.6,189,743.557866,544.75,195,811.402644,2886,3056.333333,2873.5,748.103647,706.2,582,503.214865,317,274.5,174.758882,0
4754,122025.6667,126142,90129.73105,45421.2,42328,13408.23938,15607.5,13947,5024.488399,0.850904,5587,8296.166667,8843.5,1340.64528,843.6,267,1394.570292,964,285.5,1540.104542,5351,7634.5,7741,1708.793463,1941,1242,1664.977177,1260.25,1102,1144.710262,118,122.5,122.5,3.72827,3.4,3,1.67332,2.5,2,1,16829,24497,25669.5,4346.935518,4132.8,2481,4167.498194,3027.5,1105.5,4419.377822,4377,5963.833333,6262,796.239767,581.8,296,900.185647,616.25,266,816.670629,399,868.5,964.5,259.51551,145.6,91,125.534059,90,86.5,62.026876,28,28,28,0,0,0,0,0,0,0,9459,13695.5,14547,2108.220743,1439.2,331,2276.048264,1543.75,412,2411.241364,958,1665.333333,1759.5,363.638099,260.4,140,265.520809,180.5,64,277.351161,2652,3348.5,3460.5,372.34057,391,296,355.064783,307.75,145.5,409.232106,1567,1687,1573.5,533.572113,535.4,448,339.743727,264,297.5,128.828051,0
251,4485.333333,4780.5,3375.160243,1773,1947,1001.245474,1555.25,1521.5,876.697734,0.532909,471,675.5,689,108.682565,86.2,54,86.123168,89.25,79,73.69023,323,442.166667,431.5,83.910468,72,67,40.589407,47.5,50.5,28.077274,62,65.833333,67,4.070217,4,3,3.872983,4,4,2.94392,950,1328.833333,1400,204.871098,154.2,116,187.659799,147.25,81,190.562982,370,453,466.5,47.652912,40.2,30,32.190061,29,17.5,26.870058,47,65.333333,63.5,15.857701,20.4,21,10.667708,10.25,12.5,7.320064,28,28,28,0,0,0,0,0,0,0,829,1163.833333,1183.5,180.280245,149.8,126,138.25773,160.25,133.5,111.535869,4479,5602.5,5598.5,859.828064,816.6,536,797.481849,601,191,855.224337,6288,7743,8054.5,774.750024,614,273,859.658072,641.5,274.5,807.385286,4166,3974.166667,4069.5,640.919158,494.8,519,140.801989,174,175.5,16.872068,0
